Type_of_well,Well_Depth,Lattitude,Longitude,pH,Eh,Cond,Temp,DO,DOC,HCO3,Cl,NO3,SO4,PO4,NH4,Al,B,Ba,Ca,Fe,K,Mg,Mn,Na,P,S,Si,SiO2,Sr,Zn,Cd,Cr,Cu,Mo,Ni,Pb,As
Shallow,21.3,23.4779,91.0048,7.1,-14.28042026,846,27.2,0,5.669,387.96,142.36,2.54,1.1,12980.5,0.09,13.65,0.256,0.049,16.82,1.305,11.89,25.13,0.033,164.65,4268.24,0.12,13.57,29.03,0.15,18.06,0,0.5792,3.4747,0,3.0749,0,226.03
Shallow,80.8,23.48855,90.95615,6.7,16.36795657,2100,28,0,2.467,190.32,622.32,0.06,23.7,465.2,0.06,30.3,0.167,0.056,32.59,0.896,45.75,55.17,0.602,385.42,119.22,10.08,12.6,26.95,0.24,39.49,0,0.9122,3.3821,0,4.4756,0,2.6
Shallow,30.5,23.49181,90.97609,7.1,-16.35418165,610,27.6,0,6.332,307.44,26.63,2.73,0.45,7092.9,0.05,20.97,0.106,0.058,30.49,2.203,18.3,39.38,0.079,38.78,2333.59,0.19,13.27,28.38,0.22,15.71,0,0,5.1281,0,4.1529,0,321.62
Shallow,22.9,23.49005,90.98838,6.9,2.647497548,418,27.7,0,3.366,212.28,44.38,1.12,0.3,2799.6,0.04,18.88,0.048,0.04,31.54,2.477,36.6,23.49,0.092,9.95,1837.67,0.15,13.02,27.85,0.19,22.22,0,0,1.0423,0,2.8313,0,200.62
Shallow,30.5,23.48674,91.00695,7.4,1.872921031,417,27.6,0,6.894,204.96,35.5,1.18,0.66,19626.9,0.05,18.86,0.176,0.042,14.72,0.946,6.86,3.84,0.018,71.6,6425.78,0.19,12.38,26.48,0.05,18.52,0,0.7434,2.2237,0,0,0,230.48
Shallow,21.3,23.46442,90.96912,7,-4.938906341,361,27.2,0,4.661,161.04,35.5,1.74,0.42,6783,0,19.79,0.072,0.127,33.64,1.049,10.52,10,0.07,28.24,2247.53,0.16,9.91,21.2,0.13,27.96,0,0,1.9042,0,3.1136,0,380.31
Shallow,27.4,23.4586,90.96954,6.9,-38.93731917,2250,27.5,0,10.88,512.4,528.95,4.96,2.5,6707.4,0.03,5.57,0.362,0.012,42.05,0.008,27.45,46.97,0.002,432.7,1977.59,0.39,10.79,23.07,0.31,1.57,0,0.7304,0.9744,0,4.8799,0,301.64
Shallow,82.3,23.4488,90.98296,6.9,8.169939187,811,28,0,4.213,248.88,133.48,0.68,2.7,5256.1,0,22.67,0.098,0.038,27.33,2.346,18.3,36.42,0.516,84.86,1768.66,0.2,9.5,20.32,0.23,73.21,0,0,2.1919,0,3.3278,0,374.55
Shallow,24.4,23.43532,90.95893,6.9,-38.36565244,1837,27.5,0,10.49,431.88,422.1,4.9,2.3,9353.5,0.14,22.29,0.351,0.053,29.44,1.88,32.02,46.12,0.067,331.25,3067.61,0.23,13.01,27.84,0.27,10.87,0,0.812,1.6544,0,3.6095,0,340.31
Shallow,23.8,23.41788,90.98266,6.8,0.334447135,813,27.8,0,1.602,439.2,26.63,1.3,1.35,63.4,0,1.84,0.008,0.057,34.69,0.005,18.3,63.65,0.002,17.21,8,0.1,14.82,31.21,0,6.9,0,0,0,0,0,0,2.6
